symbol,context,meaning,context_len,n_interps
Medusa,To see Medusa in your dream," signifies cunningness and terror. Alternatively, the dream may imply that you are draining all the energy out of others. You are burdening others with your problems and putting a strain on the relationship.",27,1
Meerkat,To see a meerkat in your dream, suggests that you are protected against some negativity in your life.,30,1
Meeting,To dream that you are in a meeting," suggests that you need to redirect your energies toward a more productive endeavor. Alternatively, the dream means that you are learning to accept various aspects of yourself and integrating them into your personality.",34,2
Meeting,To dream that you are late or miss a meeting, signifies anxieties that you are not measuring when it comes to achieving your goals. You may unprepared in some situation or challenge in your waking life.,44,2
Megaphone,To dream that you are using a megaphone, indicates that you need to be more vocal and expressive about your feelings. Speak up and express yourself. Perhaps you feel that you are being overlooked and feel that your voice is not being heard.,39,1
Melancholy,To dream that you are feeling melancholy, signifies disappointments. You have to remember that you cannot always win at everything. All you can do is learn from past disappointments. The dream may be a reflection of how you are feeling in your waking life.,40,2
Melancholy,To see someone who is melancholy in your dream, represents your inability to connect with others. You are feeling withdrawn and distant.,46,2
Melon,To see or eat a melon in your dream," indicates that you need to relax and take it easy. Alternatively, the dream signifies fertility, sensuality, gluttony or vitality. Melons may also be a metaphor for breasts.",35,1
Melting,To see melting ice or snow, signifies that you are letting go or releasing negative and cold emotions that you have been holding onto. You are warming up to a situation.,26,1
Memorandum,To dream that you are reading or making a memoranda, suggests that there is an important message that you need to convey. There is something that you need to let others know.,51,2
Memorandum,To see someone make a memorandum in your dream, indicates that you will be called upon to for some assistance in a matter.,46,2
Memorial,To see a memorial in your dream, indicates the need for kindness and compassion. The dream may also suggests that you need to confront the past in order to move forward.,31,1
Memory,To dream about a memory," suggests that you are ready to rid yourself of your old ways and undergo a transformation. You are ready for a new outlook in life. Recalling a memory in your dream may also be less of a shock then if you had recalled the memory in your waken state. Alternatively, the dream indicates that you have learned from your past experiences.",23,2
Memory,To dream that your memory is getting or has been erased, means that you must let go of the past in order to move forward with your life. You are stuck in an unhealthy cycle.,55,2
Memory Stick,To see a memory stick in your dream," refers to ideas and advice that you need to look at incorporating into a waking situation or some aspect of your life. The dream also indicates your ability to easily convey your feelings, beliefs or ideas to others. Consider what kind of files are on the memory stick.",35,1
